Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-12-05 03:45:00+00:00,26037.44921875,26061.69921875,25991.849609375,26001.150390625,0
2025-12-05 04:00:00+00:00,26047.19921875,26056.349609375,26027.80078125,26036.599609375,0
2025-12-05 04:15:00+00:00,26024.349609375,26061.400390625,26018.849609375,26047.25,0
2025-12-05 04:30:00+00:00,26078.55078125,26102.05078125,26006.650390625,26023.80078125,0
2025-12-05 04:45:00+00:00,26040.75,26112.55078125,26036.5,26077.150390625,0
2025-12-05 05:00:00+00:00,26096.25,26098.150390625,26007.25,26039.75,0
2025-12-05 05:15:00+00:00,26116.75,26134.75,26090.80078125,26096.150390625,0
2025-12-05 05:30:00+00:00,26143.5,26146.349609375,26115.0,26115.0,0
2025-12-05 05:45:00+00:00,26139.30078125,26156.400390625,26131.05078125,26142.94921875,0
2025-12-05 06:00:00+00:00,26141.599609375,26143.19921875,26128.599609375,26138.44921875,0
2025-12-05 06:15:00+00:00,26133.05078125,26147.900390625,26121.5,26141.30078125,0
2025-12-05 06:30:00+00:00,26130.150390625,26149.25,26129.69921875,26131.0,0
2025-12-05 06:45:00+00:00,26166.5,26167.94921875,26127.44921875,26130.099609375,0
2025-12-05 07:00:00+00:00,26190.19921875,26196.75,26163.150390625,26165.30078125,0
2025-12-05 07:15:00+00:00,26181.55078125,26202.55078125,26178.5,26188.349609375,0
2025-12-05 07:30:00+00:00,26180.94921875,26200.44921875,26177.75,26181.44921875,0
2025-12-05 07:45:00+00:00,26189.150390625,26199.25,26179.80078125,26180.25,0
2025-12-05 08:00:00+00:00,26192.650390625,26200.400390625,26183.19921875,26188.400390625,0
2025-12-05 08:15:00+00:00,26163.55078125,26198.650390625,26159.25,26192.05078125,0
2025-12-05 08:30:00+00:00,26165.099609375,26181.25,26148.30078125,26164.19921875,0
2025-12-05 08:45:00+00:00,26168.400390625,26172.80078125,26158.19921875,26165.19921875,0
2025-12-05 09:00:00+00:00,26147.650390625,26170.75,26144.599609375,26167.900390625,0
2025-12-05 09:15:00+00:00,26154.5,26158.5,26122.80078125,26147.150390625,0
2025-12-05 09:30:00+00:00,26188.650390625,26196.69921875,26155.75,26155.75,0
2025-12-05 09:45:00+00:00,26176.650390625,26199.25,26176.400390625,26187.55078125,0
2025-12-08 03:45:00+00:00,26140.599609375,26178.400390625,26128.30078125,26158.849609375,0
2025-12-08 04:00:00+00:00,26130.349609375,26144.05078125,26112.0,26139.599609375,0
2025-12-08 04:15:00+00:00,26085.80078125,26129.900390625,26077.650390625,26129.5,0
2025-12-08 04:30:00+00:00,26096.5,26096.5,26068.69921875,26086.05078125,0
2025-12-08 04:45:00+00:00,26097.80078125,26109.150390625,26081.75,26096.599609375,0
2025-12-08 05:00:00+00:00,26096.80078125,26099.099609375,26081.69921875,26098.0,0
2025-12-08 05:15:00+00:00,26070.400390625,26101.5,26069.599609375,26096.19921875,0
2025-12-08 05:30:00+00:00,26070.69921875,26080.69921875,26051.900390625,26070.75,0
2025-12-08 05:45:00+00:00,26070.05078125,26077.849609375,26056.55078125,26070.55078125,0
2025-12-08 06:00:00+00:00,26067.69921875,26074.44921875,26042.05078125,26070.44921875,0
2025-12-08 06:15:00+00:00,26059.400390625,26074.05078125,26054.400390625,26067.69921875,0
2025-12-08 06:30:00+00:00,26035.30078125,26059.099609375,26034.55078125,26058.5,0
2025-12-08 06:45:00+00:00,26027.05078125,26050.30078125,26023.25,26034.0,0
2025-12-08 07:00:00+00:00,26015.75,26027.900390625,26012.650390625,26027.150390625,0
2025-12-08 07:15:00+00:00,26012.650390625,26026.55078125,26006.650390625,26015.0,0
2025-12-08 07:30:00+00:00,26030.19921875,26040.80078125,26004.69921875,26012.849609375,0
2025-12-08 07:45:00+00:00,25957.5,26031.150390625,25950.400390625,26030.80078125,0
2025-12-08 08:00:00+00:00,25923.099609375,25960.05078125,25903.099609375,25957.25,0
2025-12-08 08:15:00+00:00,25929.650390625,25940.25,25915.69921875,25923.0,0
2025-12-08 08:30:00+00:00,25914.400390625,25943.19921875,25908.44921875,25929.30078125,0
2025-12-08 08:45:00+00:00,25924.150390625,25933.25,25892.400390625,25914.05078125,0
2025-12-08 09:00:00+00:00,25928.69921875,25929.94921875,25903.44921875,25925.19921875,0
2025-12-08 09:15:00+00:00,25939.599609375,25970.80078125,25922.25,25929.099609375,0
2025-12-08 09:30:00+00:00,25971.150390625,25984.099609375,25942.5,25942.5,0
2025-12-08 09:45:00+00:00,25932.80078125,25973.349609375,25918.19921875,25970.30078125,0
2025-12-09 03:45:00+00:00,25798.80078125,25889.849609375,25797.650390625,25867.099609375,0
2025-12-09 04:00:00+00:00,25758.900390625,25802.25,25755.55078125,25800.099609375,0
2025-12-09 04:15:00+00:00,25734.150390625,25766.599609375,25728.05078125,25760.099609375,0
2025-12-09 04:30:00+00:00,25784.05078125,25790.75,25730.349609375,25733.55078125,0
2025-12-09 04:45:00+00:00,25822.0,25848.849609375,25782.25,25784.05078125,0
2025-12-09 05:00:00+00:00,25811.849609375,25827.349609375,25778.849609375,25822.349609375,0
